año,mes,temp,precip,provincia
2012,5,11.896774193548387,143.0,CANAR
2012,6,11.236666666666668,93.0,CANAR
2012,7,10.596774193548388,128.5,CANAR
2012,8,11.009677419354839,126.89999999999999,CANAR
2012,9,11.4,69.3,CANAR
2012,10,13.02258064516129,199.6,CANAR
2012,11,13.66,265.9,CANAR
2012,12,13.206451612903225,147.8,CANAR
2013,1,13.12258064516129,160.4,CANAR
2013,2,13.228571428571428,378.4,CANAR
2013,3,13.37741935483871,255.20000000000002,CANAR
2013,4,13.04,130.4,CANAR
2013,5,12.938709677419356,166.3,CANAR
2013,6,11.486666666666668,120.60000000000001,CANAR
2013,7,10.406451612903227,177.4,CANAR
2013,8,11.051612903225807,131.2,CANAR
2013,9,11.673333333333334,54.9,CANAR
2013,10,12.748387096774193,159.6,CANAR
2013,11,13.513333333333332,214.2,CANAR
2013,12,13.154838709677419,213.7,CANAR
2014,1,13.006451612903225,249.8,CANAR
2014,2,13.346428571428572,233.1,CANAR
2014,3,13.13225806451613,294.5,CANAR
2014,4,12.563333333333333,119.1,CANAR
2014,5,12.96774193548387,220.4,CANAR
2014,6,11.393333333333334,93.0,CANAR
2014,7,10.603225806451613,144.4,CANAR
2014,8,10.712903225806452,76.5,CANAR
2014,9,12.253333333333334,61.199999999999996,CANAR
2014,10,12.670967741935485,146.9,CANAR
2014,11,13.363333333333333,210.8,CANAR
2014,12,13.029032258064515,196.8,CANAR
2015,1,12.509677419354839,251.60000000000002,CANAR
2015,2,13.207142857142857,165.3,CANAR
2015,3,13.37741935483871,325.0,CANAR
2015,4,12.626666666666667,211.4,CANAR
2015,5,12.529032258064515,137.0,CANAR
2015,6,11.126666666666667,194.6,CANAR
2015,7,11.22258064516129,112.8,CANAR
2015,8,11.538709677419355,50.1,CANAR
2015,9,12.626666666666667,33.2,CANAR
2015,10,13.212903225806452,136.5,CANAR
2015,11,13.610000000000001,148.5,CANAR
2015,12,12.864516129032259,113.0,CANAR
