producto_raw,precio_anterior,precio_actual,variacion,boletin_num,mes,año,quincena,quincena_id,provincia,categoria,estado_precio
Avena Hojuelas (Saco aprox. 50 lb),23.34,23.84,2.0,193,2,2021,1,2021-02-Q1,AZUAY,no_perecedero,completo
Aceite Vegetal - Favorita (Caja aprox. 15 I),36.0,36.0,0.0,270,7,2024,1,2024-07-Q1,AZUAY,no_perecedero,completo
Arroz Pilado Natural Grano Largo (qq),48.0,48.89,2.0,161,10,2019,1,2019-10-Q1,AZUAY,no_perecedero,completo
Avena Hojuelas (Saco aprox. 50 lb),23.34,22.17,-5.0,181,8,2020,1,2020-08-Q1,AZUAY,no_perecedero,completo
Arveja Seca (qq),32.11,35.0,9.0,143,1,2019,1,2019-01-Q1,AZUAY,no_perecedero,completo
Avena Hojuelas (Saco aprox. 50 lb),23.5,23.5,0.0,205,8,2021,1,2021-08-Q1,AZUAY,no_perecedero,completo
Arveja Seca (qq),36.33,36.33,0.0,185,10,2020,1,2020-10-Q1,AZUAY,no_perecedero,completo
Avena Hojuelas (Saco aprox.50 lb),18.0,23.0,28.0,175,5,2020,1,2020-05-Q1,AZUAY,no_perecedero,completo
Azucar Blanca (Saco aprox. 50 Kg),34.67,34.45,-1.0,201,6,2021,1,2021-06-Q1,AZUAY,no_perecedero,completo
Avena Hojuelas (Saco aprox. 50 lb),24.27,22.67,-7.0,179,7,2020,1,2020-07-Q1,AZUAY,no_perecedero,completo
Arroz Pilado Natural Grano Largo (qq),55.67,57.87,4.0,254,9,2023,1,2023-09-Q1,AZUAY,no_perecedero,completo
Avena Hojuelas (Saco aprox. 50 lb),23.89,23.95,0.0,189,12,2020,1,2020-12-Q1,AZUAY,no_perecedero,completo
Arveja Seca (qq),45.07,45.0,0.0,278,11,2024,1,2024-11-Q1,AZUAY,no_perecedero,completo
Arveja Seca (qq),47.67,47.67,0.0,250,7,2023,1,2023-07-Q1,AZUAY,no_perecedero,completo
Azucar Blanca (Saco aprox. 50 kg),35.2,35.75,2.0,164,11,2019,2,2019-11-Q2,AZUAY,no_perecedero,completo
Azuicar Blanca (Saco aprox. 50 Kg),45.0,44.67,-1.0,236,12,2022,1,2022-12-Q1,AZUAY,no_perecedero,completo
Azucar Blanca (Saco aprox. 50 Kg),34.74,34.67,0.0,207,9,2021,1,2021-09-Q1,AZUAY,no_perecedero,completo
Azuicar Blanca (Saco aprox. 50 Kg),45.0,45.0,0.0,235,11,2022,1,2022-11-Q1,AZUAY,no_perecedero,completo
Arveja Seca (qq),44.42,46.0,4.0,262,1,2024,1,2024-01-Q1,AZUAY,no_perecedero,completo
Azucar Blanca (Saco aprox. 50 Kg),34.75,34.67,0.0,195,3,2021,1,2021-03-Q1,AZUAY,no_perecedero,completo
Arroz Pilado Natural Grano Largo (qq),62.42,63.83,2.0,270,7,2024,1,2024-07-Q1,AZUAY,no_perecedero,completo
Avena Hojuelas (Saco aprox. 50lb),17.08,17.33,1.0,169,2,2020,1,2020-02-Q1,AZUAY,no_perecedero,completo
Azucar Blanca (Saco aprox. 50 Kg),34.6,34.67,0.0,203,7,2021,1,2021-07-Q1,AZUAY,no_perecedero,completo
Azucar Blanca (Saco aprox. 50 Kg),34.84,35.0,0.0,213,12,2021,1,2021-12-Q1,AZUAY,no_perecedero,completo
++ Yuca (Funda aprox. 90 lb),21.33,23.11,8.0,266,5,2024,1,2024-05-Q1,PICHINCHA,perecedero,completo
Azucar Blanca (Saco aprox. 50 Kg),34.5,34.84,1.0,193,2,2021,1,2021-02-Q1,AZUAY,no_perecedero,completo
Azuicar Blanca (Saco aprox. 50 Kg),45.08,45.0,0.0,233,10,2022,1,2022-10-Q1,AZUAY,no_perecedero,completo
Avena Hojuelas (Saco aprox. 50 lb),22.75,23.67,4.0,183,9,2020,1,2020-09-Q1,AZUAY,no_perecedero,completo
Azucar Blanca (Saco aprox. 50 Kg),34.67,34.84,0.0,205,8,2021,1,2021-08-Q1,AZUAY,no_perecedero,completo
Avena Hojuelas (Saco aprox. 50 lb),16.42,16.33,-1.0,159,9,2019,1,2019-09-Q1,AZUAY,no_perecedero,completo
Arveja Seca (qq),31.67,35.44,12.0,161,10,2019,1,2019-10-Q1,AZUAY,no_perecedero,completo
Avena Hojuelas (Saco aprox. 50 lb),22.75,24.84,9.0,177,6,2020,1,2020-06-Q1,AZUAY,no_perecedero,completo
Azucar Blanca (Saco aprox. 50Kg),35.0,35.0,0.0,155,7,2019,1,2019-07-Q1,AZUAY,no_perecedero,completo
Arveja Seca (qq),48.83,48.34,-1.0,242,3,2023,1,2023-03-Q1,AZUAY,no_perecedero,completo
Arveja Seca (qq),44.92,45.0,0.0,280,12,2024,1,2024-12-Q1,AZUAY,no_perecedero,completo
Arroz Pilado Natural Grano Largo (qq),61.0,59.33,-3.0,265,4,2024,1,2024-04-Q1,AZUAY,no_perecedero,completo
Arroz Pilado Natural Grano Largo (qq),60.0,60.0,0.0,260,12,2023,1,2023-12-Q1,AZUAY,no_perecedero,completo
Avena Hojuelas (Saco aprox. 50lb),15.6,15.34,-2.0,151,5,2019,1,2019-05-Q1,AZUAY,no_perecedero,completo
Avena Hojuelas (Saco aprox. 50 lb),24.17,24.0,-1.0,244,4,2023,1,2023-04-Q1,AZUAY,no_perecedero,completo
Arroz Pilado Natural Grano Largo (qq),60.0,60.0,0.0,258,11,2023,1,2023-11-Q1,AZUAY,no_perecedero,completo
Arveja Seca (qq),47.83,48.0,0.0,246,5,2023,1,2023-05-Q1,AZUAY,no_perecedero,completo
Azucar Blanca (Saco aprox. 50 Kg),36.13,40.34,12.0,225,6,2022,1,2022-06-Q1,AZUAY,no_perecedero,completo
Avena Hojuelas (Saco aprox. 50 lb),24.33,24.84,2.0,229,8,2022,1,2022-08-Q1,AZUAY,no_perecedero,completo
Avena Hojuelas (Saco aprox. 50lb),17.22,19.67,14.0,171,3,2020,1,2020-03-Q1,AZUAY,no_perecedero,completo
Arveja Seca (qq),36.42,36.67,1.0,187,11,2020,1,2020-11-Q1,AZUAY,no_perecedero,completo
