producto,provincia,periodo,precio_actual,precio_t1,precio_t2,variacion_t2_t1,promedio_movil_2q,promedio_movil_3q,volatilidad_3q,momentum,año,mes,quincena,variacion_real,comportamiento,categoria,producto_encoded,provincia_encoded,categoria_perecedero
Aceite Vegetal - Favorita (Caja aprox. 15 I),AZUAY,2021-09-Q2,35.4,35.4,35.4,0.0,35.4,35.4,0.0,0.0,2021,9,2,0.0,Estable,no_perecedero,0,0,0
Aceite Vegetal - Favorita (Caja aprox. 15 I),AZUAY,2021-10-Q1,35.4,35.4,35.4,0.0,35.4,35.4,0.0,0.0,2021,10,1,0.0,Estable,no_perecedero,0,0,0
Aceite Vegetal - Favorita (Caja aprox. 15 I),AZUAY,2021-10-Q2,35.4,35.4,35.4,0.0,35.4,35.4,0.0,0.0,2021,10,2,0.0,Estable,no_perecedero,0,0,0
Aceite Vegetal - Favorita (Caja aprox. 15 I),AZUAY,2021-11-Q1,35.4,35.4,35.4,0.0,35.4,35.4,0.0,0.0,2021,11,1,0.0,Estable,no_perecedero,0,0,0
Aceite Vegetal - Favorita (Caja aprox. 15 I),AZUAY,2021-11-Q2,35.4,35.4,35.4,0.0,35.4,35.4,0.0,0.0,2021,11,2,0.0,Estable,no_perecedero,0,0,0
Aceite Vegetal - Favorita (Caja aprox. 15 I),AZUAY,2021-12-Q1,35.4,35.4,35.4,0.0,35.4,35.4,0.0,0.0,2021,12,1,0.0,Estable,no_perecedero,0,0,0
Aceite Vegetal - Favorita (Caja aprox. 15 I),AZUAY,2021-12-Q2,35.4,35.4,35.4,0.0,35.4,35.4,0.0,0.0,2021,12,2,0.0,Estable,no_perecedero,0,0,0
Aceite Vegetal - Favorita (Caja aprox. 15 I),AZUAY,2022-01-Q1,35.4,35.4,35.4,0.0,35.4,35.4,0.0,0.0,2022,1,1,0.0,Estable,no_perecedero,0,0,0
Aceite Vegetal - Favorita (Caja aprox. 15 I),AZUAY,2022-01-Q2,35.4,35.4,35.4,0.0,35.4,35.4,0.0,0.0,2022,1,2,0.0,Estable,no_perecedero,0,0,0
Aceite Vegetal - Favorita (Caja aprox. 15 I),AZUAY,2022-02-Q1,35.4,35.4,35.4,0.0,35.4,35.4,0.0,0.0,2022,2,1,0.0,Estable,no_perecedero,0,0,0
Aceite Vegetal - Favorita (Caja aprox. 15 I),AZUAY,2022-02-Q2,35.4,35.4,35.4,0.0,35.4,35.4,0.0,0.0,2022,2,2,0.0,Estable,no_perecedero,0,0,0
Aceite Vegetal - Favorita (Caja aprox. 15 I),AZUAY,2022-03-Q1,35.4,35.4,35.4,0.0,35.4,35.4,0.0,0.0,2022,3,1,0.0,Estable,no_perecedero,0,0,0
Aceite Vegetal - Favorita (Caja aprox. 15 I),AZUAY,2022-03-Q2,35.4,35.4,35.4,0.0,35.4,35.4,0.0,0.0,2022,3,2,0.0,Estable,no_perecedero,0,0,0
Aceite Vegetal - Favorita (Caja aprox. 15 I),AZUAY,2022-04-Q1,35.25,35.4,35.4,0.0,35.4,35.4,0.0,0.0,2022,4,1,-0.42,Estable,no_perecedero,0,0,0
Aceite Vegetal - Favorita (Caja aprox. 15 I),AZUAY,2022-04-Q2,38.63,35.25,35.4,-0.42,35.325,35.35,0.0866,-0.0042,2022,4,2,9.59,Alza,no_perecedero,0,0,0
Aceite Vegetal - Favorita (Caja aprox. 15 I),AZUAY,2022-05-Q1,42.0,38.63,35.25,9.59,36.94,36.4267,1.9096,0.0912,2022,5,1,8.72,Alza,no_perecedero,0,0,0
Aceite Vegetal - Favorita (Caja aprox. 15 I),AZUAY,2022-05-Q2,42.0,42.0,38.63,8.72,40.315,38.6267,3.375,0.1915,2022,5,2,0.0,Estable,no_perecedero,0,0,0
Aceite Vegetal - Favorita (Caja aprox. 15 I),AZUAY,2022-06-Q1,54.0,42.0,42.0,0.0,42.0,40.8767,1.9457,0.0872,2022,6,1,28.57,Alza,no_perecedero,0,0,0
Aceite Vegetal - Favorita (Caja aprox. 15 I),AZUAY,2022-06-Q2,54.0,54.0,42.0,28.57,48.0,46.0,6.9282,0.2857,2022,6,2,0.0,Estable,no_perecedero,0,0,0
